"""And"" requires all search terms to be present. ""Or"" only requires one search term to be present.","""And"" requires all search terms to be present. ""Or"" only requires one search term to be present."
"""which"" Binary Path","""which"" Binary Path"
"<ul style=""list-style-type:disc; margin-left: 20px;"">
						                        		<li><b>All match - </b> All search words must be present</li>
						                        		<li><b>Any match - </b> Any search words must match</li>
						                        		<li><b>Extended expression match - </b> Match with respect of the expression query syntax.</li>
						                        	</ul>","<ul style=""list-style-type:disc; margin-left: 20px;"">
						                        		<li><b>All match - </b> All search words must be present</li>
						                        		<li><b>Any match - </b> Any search words must match</li>
						                        		<li><b>Extended expression match - </b> Match with respect of the expression query syntax.</li>
						                        	</ul>"
"<ul style=""list-style-type:disc; margin-left: 20px;"">
						                        		<li><b>None - </b> ""Car"" will only match car and not scar or carrot</li>
						                        		<li><b>Prefix - </b> ""Car"" will match car and scar, but not carrot</li>
						                        		<li><b>Suffix - </b> ""Car"" will match car and carrot, but not scar</li>
						                        		<li><b>Both - </b> ""Car"" will match car, carrot, and scar</li>
						                        	</ul>","<ul style=""list-style-type:disc; margin-left: 20px;"">
						                        		<li><b>None - </b> ""Car"" will only match car and not scar or carrot</li>
						                        		<li><b>Prefix - </b> ""Car"" will match car and scar, but not carrot</li>
						                        		<li><b>Suffix - </b> ""Car"" will match car and carrot, but not scar</li>
						                        		<li><b>Both - </b> ""Car"" will match car, carrot, and scar</li>
						                        	</ul>"
"A comma separated list of the synonyms of the word","A comma separated list of the synonyms of the word"
Action,Action
"Add after","Add after"
"Add Field Boost","Add Field Boost"
"Add Stop Word","Add Stop Word"
"Add Synonym","Add Synonym"
Advanced,Advanced
"All match","All match"
And,And
"Any match","Any match"
"Arabic stemmer","Arabic stemmer"
Attribute,Attribute
"Binary Path","Binary Path"
"Binary path to the ""which"" command on your server. Used for checking commands. Leave blank to not check existence of commands.","Binary path to the ""which"" command on your server. Used for checking commands. Leave blank to not check existence of commands."
"Both prefix and suffix words with wildcard","Both prefix and suffix words with wildcard"
"Cache Status","Cache Status"
"Cannot call method as connection mode is not %s","Cannot call method as connection mode is not %s"
Categories,Categories
"Category Inclusion","Category Inclusion"
"Category Search","Category Search"
