sku,name,meta_title
DHC1040,"Capstar Flea Tablets Large Dogs Up to 57kg 6 Tablets ",
DGF2120,"Fido's Fre Itch Rinse Concentrate 125ml","Fidos Fre Itch Rinse Concentrate"
DGF2140,"Fido's Fre Itch Rinse Concentrate 500ml","Fidos Fre Itch Rinse Concentrate"
DGF2160,"Fido's Fre Itch Rinse Concentrate 5ltr","Fidos Fre Itch Rinse Concentrate"
DGF0020,"Fido's Everyday Shampoo 250ml","Fido's Everyday Shampoo"
DGF0040,"Fido's Everyday Shampoo 500ml","Fido's Everyday Shampoo"
DGF0050,"Fido's Everyday Shampoo 1ltr","Fido's Everyday Shampoo"
DGF0060,"Fido's Everyday Shampoo 5ltr","Fido's Everyday Shampoo"
DGF0000,"Fido's Everyday Shampoo","Fido's Everyday Shampoo"
DHF0020,"Frontline Plus for Small Dogs up to 10kg 3pk","Frontline Plus for Small Dogs up to 10kg 3pk"
DHF0040,"Frontline Plus for Small Dogs up to 10kg 6pk","Frontline Plus for Small Dogs up to 10kg 6pk"
DHF0001,"Frontline Plus for Small Dogs Up to 10kg","Frontline Plus For Small Dogs up to 10kg"
DGF0003,"Fido's Puppy & Kitten Shampoo","Fido's Puppy & Kitten Shampoo"
DGF0100,"Fido's Puppy & Kitten Shampoo 250ml","Fido's Puppy & Kitten Shampoo"
DGF0120,"Fido's Puppy & Kitten Shampoo 1ltr","Fido's Puppy & Kitten Shampoo"
DGF0700,"Fido's Blackgloss Shampoo 250ml","Fido's Blackgloss Shampoo"
DGF0720,"Fido's Blackgloss Shampoo 1ltr","Fido's Blackgloss Shampoo"
DGF0007,"Fido's Blackgloss Shampoo","Fido's Blackgloss Shampoo"
DHF1340,"Pernaease Powder 250g","Pernaease Powder"
DHF1080,"Fido's Bathing Wipes",
DHF1160,"Fido's Flea Bomb 125g","Fido's Flea Bomb 125g"
DGF0300,"Fido's White and Bright Shampoo 250ml","Fido's White and Bright Shampoo 250ml"
DGF0321,"Fido's White and Bright Shampoo 1ltr","Fido's White and Bright Shampoo 1ltr"
DGF00031,"Fido's White and Bright Shampoo","Fido's White and Bright Shampoo"
DGH0002,"Frontline Plus for Medium Dogs 10-20kg","Frontline Plus for Medium Dogss 10-20kg"
DHF0060,"Frontline Plus for Medium Dogs 10-20kg 3pk","Frontline plus for medium dogs 10-20kg"
DHF0080,"Frontline Plus for Medium Dogs 10-20kg 6pk","Frontline Plus for medium dogs 10-20kg "
DHF0100,"Frontline Plus for Large Dogs 20-40kg 3pk","Frontline plus for large dogs 20-40kg"
DHF0120,"Frontline Plus for Large Dogs 20-40kg 6pk","Frontline plus for large dogs 20-40kg"
DHF0003,"Frontline Plus for Large Dogs 20-40kg","Frontline Plus for Large dogs 20-40kg"
DHF0140,"Frontline Plus for Extra Large Dogs 40-60kg 3pk","Frontline Plus for Extra Large Dogs 40-60kg"
DHF0160,"Frontline Plus for Extra Large Dogs 40-60kg 6pk","Frontline Plus for Extra Large Dogs 40-60kg"
DHF0004,"Frontline Plus for Extra Large Dogs 40-60kg","Frontline Plus for extra large dogs 40-60kg"
DAK2410,"Kong Classic Small","Kong Classic Small"
DAK2420,"Kong Classic Medium","Kong Classic Medium"
DAK2430,"Kong Classic Large","Kong Classic Large"
DAK2440,"Kong Classic Extra Large","Kong Classic extra large"
DAK2450,"Kong Classic XX-Large","Kong Classic extra extra large"
DAK20001,"Kong Classic ","Kong Classic Dog Toy"
DAK2610,"Kong Extreme Small","Kong Extreme Small"
DAK2620,"Kong Extreme Medium","Kong Extreme Medium"
DAK2630,"Kong Extreme Large","Kong Extreme Large"
DAK2640,"Kong Extreme Extra Large","Kong Extreme Extra Large"
DAK2650,"Kong Extreme XX-Large","Kong Extreme XX-Large"
DAK20002,"Kong Extreme","Kong Extreme"
AAL0040,"Lixit Rabbit / Guinea Pig Bottle 500ml","Lixit Rabbit/Guinea Pig Bottle 500ml"
AAL0060,"Lixit Rabbit / Guinea Pig Bottle 1ltr","Lixit Rabbit/Guinea Pig Bottle 1Ltr"
AAL0001,"Lixit Rabbit/Guinea Pig Water Bottle","Lixit Rabbit & Guinea pIg Bottle "
DAK4140,"Kong Classic Goodie Bone Small up to 9kg","Kong Classic Goodie Bone Small up to 9kg"
DAK4160,"Kong Classic Goodie Bone Large 15-30kg","Kong Classic Goodie Bone Large 15-30kg"
DAK40001,"Kong Classic Goodie Bone","Kongs Goodie Bone"
DAK4310,"Kong Airdog Squeaker Balls 3pk Extra Small","Kong Airdog Squeaker Balls Multipack"
DAK4320,"Kong Airdog Squeaker Balls 3pk Small","Kong Airdog Squeaker Balls Multipack"
DAK4330,"Kong Airdog Squeaker Balls 3pk Medium","Kong Airdog Squeaker Balls Multipack"
DAK4340,"Kong Airdog Squeaker Balls 2pk Large","Kong Airdog Squeaker Balls Multipack"
DAK40002,"Kong Airdog Squeaker Balls multi-pack","Kong Airdog squeaker balls multipack"
DAK4380,"Kong Airdog Squeaker Football Small","Kong Airdog squeaker football small"
DAK4390,"Kong Airdog Squeaker Football Medium","Kong Airdog squeaker football medium"
DAK4400,"Kong Airdog Squeaker Football Large","Kong Airdog squeaker football large"
DAK40003,"Kong Airdog Squeaker Football","Kong Airdog Squeaker Football"
DAK4410,"Kong Airdog Squeaker Dumbbell Small","Kong Airdog squeaker dumbbell small"
DAK4420,"Kong Airdog Squeaker Dumbbell Medium","Kong Airdog squeaker dumbbell medium"
DAK4430,"Kong Airdog Squeaker Dumbbell Large","Kong Airdog squeaker dumbbell large"
DAK40004,"Kong Airdog Squeaker Dumbbell","Kong Airdog Squeaker Dumbbell"
DAK4530,"Kong Airdog Spinner Large","KONG AIRDOG SPINNER"
DAK40005,"Kong Airdog Spinner","Kong Airdog Spinner"
DHV2440,"Preventic Tick Collar For Dogs 2 Months","Preventic Tick Collar"
DHK0520,"Kiltix Tick & Flea Collar For Dogs","Kiltix Flea and Tick Collar"
DAK2010,"Kong Puppy Small","Kong Puppy Small"
DAK2020,"Kong Puppy Medium","Kong Puppy Medium"
DAK2030,"Kong Puppy Large","Kong Puppy Large"
DAK20006,"Kong Puppy","Kong Puppy "
DAK2050,"Kong Puppy Teething Stick Small","Kong Puppy Teething Stick Small"
DAK2060,"Kong Puppy Teething Stick Medium","Kong Puppy Teething Stick Medium"
DAK2070,"Kong Puppy Teething Stick Large","Kong Puppy Teething Stick Large"
DAK20007,"Kong Puppy Teething Stick","Kong Puppy Teething Stick"
DAK2170,"Kong Puppy Flyer","Kong Puppy Flyer"
DAK2130,"Kong Puppy Goodie Bone Small","Kong Puppy Goodie Bone"
DAK2910,"Kong Wobbler Small","Kong Wobbler Small"
DAK2920,"Kong Wobbler Large ","Kong Wobbler Large"
DAK20009,"Kong Wobbler","Kong Wobbler"
DAK5750,"Kong Wild Knot Bear Small","Wild Knot Bear Small"
