sku,name,stock.qty,stock.is_in_stock
DHC1040,"Capstar Flea Tablets Large Dogs Up to 57kg 6 Tablets ",100.0000,"In Stock"
DGF2120,"Fido's Fre Itch Rinse Concentrate 125ml",4.0000,"In Stock"
DGF2140,"Fido's Fre Itch Rinse Concentrate 500ml",5.0000,"In Stock"
DGF2160,"Fido's Fre Itch Rinse Concentrate 5ltr",6.0000,"In Stock"
DGF0020,"Fido's Everyday Shampoo 250ml",2.0000,"In Stock"
DGF0040,"Fido's Everyday Shampoo 500ml",0.0000,"Out of Stock"
DGF0050,"Fido's Everyday Shampoo 1ltr",5.0000,"In Stock"
DGF0060,"Fido's Everyday Shampoo 5ltr",5.0000,"In Stock"
DGF0000,"Fido's Everyday Shampoo",0.0000,"In Stock"
DHF0020,"Frontline Plus for Small Dogs up to 10kg 3pk",58.0000,"In Stock"
DHF0040,"Frontline Plus for Small Dogs up to 10kg 6pk",95.0000,"In Stock"
DHF0001,"Frontline Plus for Small Dogs Up to 10kg",0.0000,"In Stock"
DGF0003,"Fido's Puppy & Kitten Shampoo",0.0000,"In Stock"
DGF0100,"Fido's Puppy & Kitten Shampoo 250ml",6.0000,"In Stock"
DGF0320,"Fido's Puppy & Kitten Shampoo 1ltr",6.0000,"In Stock"
DGF0700,"Fido's Blackgloss Shampoo 250ml",6.0000,"In Stock"
DGF0720,"Fido's Blackgloss Shampoo 1ltr",6.0000,"In Stock"
DGF0007,"Fido's Blackgloss Shampoo",0.0000,"In Stock"
DHF1340,"Pernaease Powder 250g",129.0000,"In Stock"
DHF1080,"Fido's Bathing Wipes",6.0000,"In Stock"
DHF1160,"Fido's Flea Bomb 125g",5.0000,"In Stock"
DGF0300,"Fido's White and Bright Shampoo 250ml",6.0000,"In Stock"
DGF0321,"Fido's White and Bright Shampoo 1ltr",6.0000,"In Stock"
DGF00031,"Fido's White and Bright Shampoo",0.0000,"In Stock"
DGH0002,"Frontline Plus for Medium Dogs 10-20kg",0.0000,"In Stock"
DHF0060,"Frontline Plus for Medium Dogs 10-20kg 3pk",46.0000,"In Stock"
DHF0080,"Frontline Plus for Medium Dogs 10-20kg 6pk",95.0000,"In Stock"
DHF0100,"Frontline Plus for Large Dogs 20-40kg 3pk",71.0000,"In Stock"
DHF0120,"Frontline Plus for Large Dogs 20-40kg 6pk",98.0000,"In Stock"
DHF0003,"Frontline Plus for Large Dogs 20-40kg",0.0000,"In Stock"
DHF0140,"Frontline Plus for Extra Large Dogs 40-60kg 3pk",89.0000,"In Stock"
DHF0160,"Frontline Plus for Extra Large Dogs 40-60kg 6pk",98.0000,"In Stock"
