sku,name,meta_title
DHC1040,Capstar Flea Tablets Large Dogs Up to 57kg 6 Tablets ,Capstar Flea Tablets Large Dogs Up to 57kg 6 Tablets 
DGF2120,Fido's Fre Itch Rinse Concentrate 125ml,Fido's Fre Itch Rinse Concentrate 125ml
DGF2140,Fido's Fre Itch Rinse Concentrate 500ml,Fido's Fre Itch Rinse Concentrate 500ml
DGF2160,Fido's Fre Itch Rinse Concentrate 5ltr,Fido's Fre Itch Rinse Concentrate 5ltr
DGF0020,Fido's Everyday Shampoo 250ml,Fido's Everyday Shampoo 250ml
DGF0040,Fido's Everyday Shampoo 500ml,Fido's Everyday Shampoo 500ml
DGF0050,Fido's Everyday Shampoo 1ltr,Fido's Everyday Shampoo 1ltr
DGF0060,Fido's Everyday Shampoo 5ltr,Fido's Everyday Shampoo 5ltr
DGF0000,Fido's Everyday Shampoo,Fido's Everyday Shampoo
DHF0020,Frontline Plus for Small Dogs up to 10kg 3pk,Frontline Plus for Small Dogs up to 10kg 3pk
DHF0040,Frontline Plus for Small Dogs up to 10kg 6pk,Frontline Plus for Small Dogs up to 10kg 6pk
DHF0001,Frontline Plus for Small Dogs Up to 10kg,Frontline Plus for Small Dogs Up to 10kg
DGF0003,Fido's Puppy & Kitten Shampoo,Fido's Puppy & Kitten Shampoo
DGF0100,Fido's Puppy & Kitten Shampoo 250ml,Fido's Puppy & Kitten Shampoo 250ml
DGF0120,Fido's Puppy & Kitten Shampoo 1ltr,Fido's Puppy & Kitten Shampoo 1ltr
DGF0700,Fido's Blackgloss Shampoo 250ml,Fido's Blackgloss Shampoo 250ml
DGF0720,Fido's Blackgloss Shampoo 1ltr,Fido's Blackgloss Shampoo 1ltr
DGF0007,Fido's Blackgloss Shampoo,Fido's Blackgloss Shampoo
DHF1340,Pernaease Powder 250g,Pernaease Powder 250g
DHF1080,Fido's Bathing Wipes,Fido's Bathing Wipes
DHF1160,Fido's Flea Bomb 125g,Fido's Flea Bomb 125g
DGF0300,Fido's White and Bright Shampoo 250ml,Fido's White and Bright Shampoo 250ml
DGF0321,Fido's White and Bright Shampoo 1ltr,Fido's White and Bright Shampoo 1ltr
DGF00031,Fido's White and Bright Shampoo,Fido's White and Bright Shampoo
DGH0002,Frontline Plus for Medium Dogs 10-20kg,Frontline Plus for Medium Dogs 10-20kg
DHF0060,Frontline Plus for Medium Dogs 10-20kg 3pk,Frontline Plus for Medium Dogs 10-20kg 3pk
DHF0080,Frontline Plus for Medium Dogs 10-20kg 6pk,Frontline Plus for Medium Dogs 10-20kg 6pk
DHF0100,Frontline Plus for Large Dogs 20-40kg 3pk,Frontline Plus for Large Dogs 20-40kg 3pk
DHF0120,Frontline Plus for Large Dogs 20-40kg 6pk,Frontline Plus for Large Dogs 20-40kg 6pk
DHF0003,Frontline Plus for Large Dogs 20-40kg,Frontline Plus for Large Dogs 20-40kg
DHF0140,Frontline Plus for Extra Large Dogs 40-60kg 3pk,Frontline Plus for Extra Large Dogs 40-60kg 3pk
DHF0160,Frontline Plus for Extra Large Dogs 40-60kg 6pk,Frontline Plus for Extra Large Dogs 40-60kg 6pk
DHF0004,Frontline Plus for Extra Large Dogs 40-60kg,Frontline Plus for Extra Large Dogs 40-60kg
DAK2410,Kong Classic Small,Kong Classic Small
DAK2420,Kong Classic Medium,Kong Classic Medium
DAK2430,Kong Classic Large,Kong Classic Large
DAK2440,Kong Classic Extra Large,Kong Classic Extra Large
DAK2450,Kong Classic XX-Large,Kong Classic XX-Large
DAK20001,Kong Classic ,Kong Classic 
DAK2610,Kong Extreme Small,Kong Extreme Small
DAK2620,Kong Extreme Medium,Kong Extreme Medium
DAK2630,Kong Extreme Large,Kong Extreme Large
DAK2640,Kong Extreme Extra Large,Kong Extreme Extra Large
DAK2650,Kong Extreme XX-Large,Kong Extreme XX-Large
DAK20002,Kong Extreme,Kong Extreme
AAL0040,Lixit Rabbit / Guinea Pig Bottle 500ml,Lixit Rabbit / Guinea Pig Bottle 500ml
AAL0060,Lixit Rabbit / Guinea Pig Bottle 1ltr,Lixit Rabbit / Guinea Pig Bottle 1ltr
AAL0001,Lixit Rabbit/Guinea Pig Water Bottle,Lixit Rabbit/Guinea Pig Water Bottle
DAK4140,Kong Classic Goodie Bone Small up to 9kg,Kong Classic Goodie Bone Small up to 9kg
DAK4160,Kong Classic Goodie Bone Large 15-30kg,Kong Classic Goodie Bone Large 15-30kg
DAK40001,Kong Classic Goodie Bone,Kong Classic Goodie Bone
DAK4310,Kong Airdog Squeaker Balls 3pk Extra Small,Kong Airdog Squeaker Balls 3pk Extra Small
DAK4320,Kong Airdog Squeaker Balls 3pk Small,Kong Airdog Squeaker Balls 3pk Small
DAK4330,Kong Airdog Squeaker Balls 3pk Medium,Kong Airdog Squeaker Balls 3pk Medium
DAK4340,Kong Airdog Squeaker Balls 2pk Large,Kong Airdog Squeaker Balls 2pk Large
DAK40002,Kong Airdog Squeaker Balls multi-pack,Kong Airdog Squeaker Balls multi-pack
DAK4380,Kong Airdog Squeaker Football Small,Kong Airdog Squeaker Football Small
DAK4390,Kong Airdog Squeaker Football Medium,Kong Airdog Squeaker Football Medium
DAK4400,Kong Airdog Squeaker Football Large,Kong Airdog Squeaker Football Large
DAK40003,Kong Airdog Squeaker Football,Kong Airdog Squeaker Football
DAK4410,Kong Airdog Squeaker Dumbbell Small,Kong Airdog Squeaker Dumbbell Small
DAK4420,Kong Airdog Squeaker Dumbbell Medium,Kong Airdog Squeaker Dumbbell Medium
DAK4430,Kong Airdog Squeaker Dumbbell Large,Kong Airdog Squeaker Dumbbell Large
DAK40004,Kong Airdog Squeaker Dumbbell,Kong Airdog Squeaker Dumbbell
DAK4530,Kong Airdog Spinner Large,Kong Airdog Spinner Large
DAK40005,Kong Airdog Spinner,Kong Airdog Spinner
DHV2440,Preventic Tick Collar For Dogs 2 Months,Preventic Tick Collar For Dogs 2 Months
DHK0520,Kiltix Tick & Flea Collar For Dogs,Kiltix Tick & Flea Collar For Dogs
