name,sku,cpsp_expand_prices,cpsp_show_lowest,cpsp_enable
Capstar Flea Tablets Large Dogs Up to 57kg 6 Tablets ,DHC1040,,1,
Fido's Everyday Shampoo,DGF0000,1,1,1
Frontline Plus for Small Dogs Up to 10kg,DHF0001,1,1,1
Fido's Puppy & Kitten Shampoo,DGF0003,1,1,1
Fido's Blackgloss Shampoo,DGF0007,1,1,1
Pernaease Powder 250g,DHF1340,,1,
Fido's Bathing Wipes,DHF1080,,1,
Fido's Flea Bomb 125g,DHF1160,,1,
Fido's White and Bright Shampoo,DGF00031,1,1,1
Frontline Plus for Medium Dogs 10-20kg,DGH0002,1,1,1
Frontline Plus for Large Dogs 20-40kg,DHF0003,1,1,1
Frontline Plus for Extra Large Dogs 40-60kg,DHF0004,1,1,1
Kong Classic ,DAK20001,1,1,1
Kong Extreme,DAK20002,1,1,1
Lixit Rabbit/Guinea Pig Water Bottle,AAL0001,1,1,1
Kong Classic Goodie Bone,DAK40001,1,1,1
Kong Airdog Squeaker Balls multi-pack,DAK40002,1,1,1
Kong Airdog Squeaker Football,DAK40003,1,1,1
Kong Airdog Squeaker Dumbbell,DAK40004,1,1,1
Kong Airdog Spinner,DAK40005,1,1,1
Preventic Tick Collar For Dogs 2 Months,DHV2440,,1,
Kiltix Tick & Flea Collar For Dogs,DHK0520,,1,
Kong Puppy,DAK20006,1,1,1
Kong Puppy Teething Stick,DAK20007,1,1,1
Kong Puppy Flyer,DAK2170,,1,
Kong Puppy Goodie Bone Small,DAK2130,,1,
Kong Wobbler,DAK20009,1,1,1
Kong Wild Knot Bear,DAK50001,1,1,1
Kong Genius Leo,DAK50002,1,1,1
Love Em Liver Chews 2 Pack,DTL1180,,1,
Love Em Puppy Rewards Treat 120g,DTL1020,,1,
Love Em Liver Chews 4 Pack Chew,DTL1200,,1,
Love Em Beef Liver Treats 100g,DTL1040,,1,
Kong Cozie Ali Aligator ,DAK630001,1,1,1
Feliway Diffusser & Refill Set For Cats,CHF0500,,1,
Kong Cozie King Lion,DAK630002,1,1,1
Kong Cozie Elmer the Elephant,DAK630003,1,1,1
Feliway Spray for Cats 60ml,CHF0540,,1,
Kong Cozie Rosie the Rhino,DAK630004,1,1,1
Feliway Refill Only 48ml,CHF0520,,1,
Kong Dodo Bird,DAK5675,,1,
Kong Classic Flyer ,DAK50003,1,1,1
Kong Extreme Flyer ,DAK5130,,1,
Ball Launcher/Chucker,DAB0600,,1,
Kong Classic Ball,DAK50005,1,1,1
Kong Extreme Ball,DAK50006,1,1,1
Kong Satellite Treat Dispenser,DAK50007,,1,
Kong Genius Mike,DAK50008,1,1,1
Kong Safe Stix,DAK50009,1,1,1
Kong Tug,DAK3670,,1,
Kong Sports Balls Assorted ,DAK30001,1,1,1
34234,234,0,1,0
Fido's Tea Tree Shampoo,DGF058,1,1,1
Fido's Aloe Vera Shampoo,DGF042,1,1,1
Fido's Emu Oil Shampoo,DGF016,1,1,1
Fido's Gentle and Mild Shampoo with Baking Soda,DGF246,1,1,1
Fido's Creme Conditioner,DGF102,1,1,1
Fido's Oatmeal Conditioner,DGF110,1,1,1
Advantix Green Small Dogs 0-4kg,CHA00001,1,1,1
Advantix Blue Medium Dogs 4-10kg,DHA20001,1,1,1
Advantix Red Large Dogs 10-25kg,DHA20002,1,1,1
Advantix Grey Extra Large Dogs Over 25kg,DHA20003,1,1,1
Fido's Fresh Coat Spray,DGF2080,1,1,1
Advocate Small Cats Orange 0-4kg,CHA00002,1,1,1
Fido's Fre Itch Rinse Concentrate,DGF026,1,1,1
Advocate Large Cats Purple Over 4kg,CHA0003,1,1,1
Advocate Blue Medium Dogs 4-10kg,DHA10004,1,1,1
Advocate Green Small Dogs 0-4kg 3 Pack,DHA1020,,1,
Advocate Red Large Dogs 10-25kg,DHA10005,1,1,1
Advocate for Extra Large Dogs Over 25kg 3 Pack,DHA1120,,1,
Advocate Grey Extra Large Dogs Over 25kg 6 Pack,DHA1140,,1,
Advocate Grey Extra Large Dogs Over 25kg,DHA10006,1,1,1
Advantage Orange Small Cats 0-4kg,CHA0004,1,1,1
Advantage Purple Large Cats Over 4kg,CHA0005,1,1,1
Advantage Green Small Dogs 0-4kg,DHA0006,1,1,1
Advantage Blue Medium Dogs 4-10kg,DHA0007,1,1,1
Advantage Red Large Dogs 10-25kg,DHA0008,1,1,1
Advantage Grey Extra Large Dogs Over 25kg,DHA0009,1,1,1
Science Diet Feline Senior 11+ Age Defying,CPS0009,1,1,1
Fido's Tear Stain Remover 125ml,DGF2260,,1,
Fido's Dental Spray Gel 125ml,DHF1300,,1,
Fido's Fleatrol Plus Spray,DGF218,1,1,1
Fido's White and Bright Fresh Spritzer Spray 125ml,DGF2340,,1,
Fido's Everyday Fresh Spritzer Spray 125ml,DGF2360,,1,
Fido's Puppy and Kitten Fresh Spritzer Spray 125ml,DGF2380,,1,
Fido's Bunny Bath Shampoo and Conditioner ,AGF002,1,1,1
Fido's Flea Shampoo ,DGF020,1,1,1
Fido's White and Bright Conditioner,DGF035,1,1,1
Fido's Pyrethrin Shampoo,DGF036,1,1,1
Fido's Herbal Shampoo ,DGF064,1,1,1
Fido's Avitrol Mite and Lice Spray,BHF010,1,1,1
Fido's Avitrol Plus Bird Worming Syrup,BHF020,1,1,1
Nylon Collar Black,DOGCOLLAR1,1,1,1
Fido's Glucosamine Tablets,DHF102,1,1,1
Nylon Dog Collar Blue,DOGCOLLAR2,1,1,1
Nylon Dog Collar Red,DOGCOLLAR3,1,1,1
Nylon Dog Collar Pink,DOGCOLLAR4,1,1,1
PAW Osteocare Joint Health Chews for Dogs,DHP208,1,1,1
PAW Osteosupport Joint Care Powder for Dogs,DHP206,1,1,1
PAW Osteosupport Joint Care Powder for Cats 60's,PAW0060,,1,
PAW Digesticare 60 Powder for Dogs & Cats 150g,DHP2130,,1,
PAW Gentle Ear Cleaner 120ml,DHP2020,,1,
PAW Wellness & Vitality Multivitamin Chews,DHP2380,,1,
Nylon Dog Collar Purple,DOGCOLLAR5,1,1,1
PAW Multi+Tryptophan Multivitamin Chews 300g,DHP2180,,1,
PAW Dermega Omega 3 & 6 Oral Supplement 200ml,DHP2140,,1,
Adjustable Nylon Dog Collar Black,DOGCOLLAR6,1,1,1
Adjustable Nylon Dog Collar Blue,DOGCOLLAR7,1,1,1
Adjustable Nylon Dog Collar Red,DOGCOLLAR8,1,1,1
Adjustable Nylon Dog Collar Pink,DOGCOLLAR9,1,1,1
Adjustable Nylon Dog Collar Purple,DOGCOLLAR10,1,1,1
Padded Nylon Dog Collar Black,DOGCOLLAR11,1,1,1
Padded Nylon Dog Collar Blue,DOGCOLLAR12,1,1,1
Petlife Padded Nylon Dog Collar Red,DOGCOLLAR13,1,1,1
Leather Plain Dog Collar Black,DOGCOLLAR14,1,1,1
Leather Plain Dog Collar Morocco Large,16313,,1,
Leather Plain Dog Collar Morocco,DOGCOLLAR15,1,1,1
Leather Plain Dog Collar Cabernet,DOGCOLLAR16,1,1,1
Science Diet Puppy Small & Toy Savory Stew with Chicken & Vegetables 156gx24pack,DPS0820,,1,
PAW Rose Aroma Grooming Mist 125ml,DGP1320,,1,
PAW Puppy Conditioning Spray 200ml,DGP1040,,1,
PAW Puppy Gentle Shampoo 200ml,DGP1020,,1,
PAW 2 in 1 Conditioning Shampoo ,DGP106,1,1,1
PAW Sensitive Skin Shampoo,DGP112,1,1,1
PAW Sensitive Skin Conditioner 200ml,DGP1180,,1,
PAW NutriDerm Replenishing Shampoo 200ml,DGP1220,,1,
PAW NutriDerm Replenishing Conditioner 200ml,DGP1240,,1,
PAW MediDerm Gentle Medicated Shampoo,DGP126,1,1,1
PAW Classic Care Shampoo,DGP140,1,1,1
Leather Studded Dog Collar Black,DOGCOLLAR17,1,1,1
Leather Studded Dog Collar Morocco,DOGCOLLAR18,1,1,1
Leather Studded Dog Collar Cabernet,DOGCOLLAR19,1,1,1
Leather Staffy Dog Collar Black,DOGCOLLAR20,1,1,1
Leather Staffy Dog Collar Cabernet,DOGCOLLAR21,1,1,1
Leather Staffy Dog Collar Morocco,DOGCOLLAR22,1,1,1
Science Diet Adult Small & Toy Breed Savory Stew with Chicken & Vegetables 156gx24pack,DPS0900,,1,
Science Diet Adult Small & Toy Breed Savory Stew with Beef & Vegetables 156gx24pack,DPS0920,,1,
Science Diet Mature Small & Toy Breed Savory Stew with Chicken & Vegetables 156gx24pack,DPS1060,,1,
Science Diet Puppy Savory Stew with Chicken & Vegetables 363gx12pack,DPS0840,,1,
Science Diet Puppy Savory Stew with Beef & Vegetables 363gx12pack,DPS0860,,1,
Science Diet Adult Savory Stew with Chicken & Vegetables 363gx12pack ,DPS0940,,1,
Science Diet Adult Savory Stew with Beef & Vegetables 363gx12pack ,DPS0960,,1,
Science Diet Adult Savory Stew with Turkey & Vegetables 363gx12pack ,DPS0980,,1,
Science Diet Mature Savory Stew with Chicken & Vegetables 363gx12pack ,DPS1080,,1,
Science Diet Mature Savory Stew with Beef & Vegetables 363gx12pack ,DPS1100,,1,
Dermcare Aloveen Shampoo ,DGA002,1,1,1
Dermcare Aloveen Conditioner,DGA008,1,1,1
Dermcare Aloveen Shampoo and Conditioner Bonus Pack,DGA0140,,1,
Special Edition Leather Dog Collar Black,DOGCOLLAR24,1,1,1
Dermcare Malaseb Medicated Shampoo ,DGM004,1,1,1
Powergrip Adjustable Dog Collar Blue Steel,DOGCOLLAR25,1,1,1
Powergrip Adjustable Dog Collar Purple Punch,DOGCOLLAR26,1,1,1
Dermcare Natural Shampoo,DGD002,1,1,1
Action Dog Collar Burnt Orange,DOGCOLLAR27,1,1,1
Permoxin Concentrate ,DHP152,1,1,1
Action Dog Collar Panther Black,DOGCOLLAR28,1,1,1
Watersports Adjustable Dog Collar Anchor Red,DOGCOLLAR29,1,1,1
Epi Otic Skin & Ear Cleaner,DHV216,1,1,1
Watersports Adjustable Dog Collar Drift Blue,DOGCOLLAR30,1,1,1
Nylon Lead Black,DOGLEAD1,1,1,1
Nylon Lead Blue,DOGLEAD2,1,1,1
Nylon Lead Red 180cmX25mm,16512,,1,
Nylon Lead Red,DOGLEAD3,1,1,1
Nylon Lead Pink,DOGLEAD4,1,1,1
Troy Repel X,DHT180,1,1,1
Nylon Lead Purple,DOGLEAD5,1,1,1
Troy Fly Repella Cream,DHT160,,1,
Padded Nylon Lead Black,DOGLEAD6,1,1,1
Padded Nylon Lead Blue,DOGLEAD7,1,1,1
Padded Nylon Lead Red,DOGLEAD8,1,1,1
Padded Chain Lead Black,DOGLEAD9,1,1,1
Padded Chain Lead Blue,DOGLEAD10,1,1,1
Padded Chain Lead Red,DOGLEAD11,1,1,1
Nylon Twin Lead,DOGLEAD12,1,1,1
Powergrip Lead Various Colours,DOGLEAD13,1,1,1
Watersports Lead Adjustable 150cm,DOGLEAD14,1,1,1
Special Edition Leather Lead,17207,,1,
Special Edition Retractable Lead 5m,16839,,1,
Septicide Antiseptic Cream and Insecticide 100g,DHV2460,,1,
Buzz Off Antiseptic and Insecticide Cream 75g,DHB1060,,1,
Rose Hip Vital for Canines,DHR150,1,1,1
Joint Guard Liver Chews for Dogs 250g,DHJ0020,,1,
Joint Guard Powder for Dogs,DHJ004,1,1,1
Halti Head Collar Black ,HALTI,1,1,1
Joint Guard Powder for Cats 100g,CHJ0020,,1,
Halti Head Collar Blue,HALTI2,1,1,1
Halti Head Collar Red,HALTI3,1,1,1
